Time,Fz
1.51,726.364152
1.512,727.171012
1.514,727.973562
1.516,727.572592
1.518,728.376242
1.52,729.181052
1.522,729.984702
1.524,729.985862
1.526,729.985862
1.528,728.379452
1.53,728.379452
1.532,728.379452
1.534,726.773042
1.536,726.370362
1.538,726.369812
1.54,725.967682
1.542,725.164032
1.544,724.362432
1.546,723.959412
1.548,722.351842
1.55,721.147562
1.552,720.746592
1.554,720.342412
1.556,719.538762
1.558,719.539922
1.56,719.539372
1.562,718.335642
1.564,718.335642
1.566,718.738322
1.568,718.736272
1.57,718.737432
1.572,719.140112
1.574,719.139562
1.576,718.737432
1.578,718.336802
1.58,717.531442
1.582,717.130472
1.584,716.327162
1.586,716.728952
1.588,716.326272
1.59,716.728062
1.592,716.727852
1.594,716.326882
1.596,716.729012
1.598,716.327492
1.6,716.326942
1.602,716.730572
1.604,716.728522
1.606,717.534282
1.608,719.140962
1.61,720.347352
1.612,721.552792
1.614,722.758022
1.616,724.366542
1.618,725.169302
1.62,726.778372
1.622,728.385732
1.624,728.788472
1.626,729.993912
1.628,730.797282
1.63,731.199752
1.632,732.405532
1.634,732.807112
1.636,733.208692
1.638,734.013502
1.64,734.416582
1.642,735.217632
1.644,735.219132
1.646,735.619212
1.648,735.619212
1.65,735.218032
1.652,735.618452
1.654,736.020582
1.656,735.617902
1.658,734.814592
1.66,734.411912
1.662,733.608602
1.664,733.606552
1.666,732.803242
1.668,731.596912
1.67,729.990842
1.672,728.785062
1.674,727.980592
1.676,726.774262
1.678,725.568822
1.68,724.362492
1.682,723.158552
1.684,722.754712
1.686,722.353742
1.688,722.353192
1.69,719.943132
1.692,719.943132
1.694,719.540452
1.696,718.334122
1.698,717.931442
1.7,717.931442
1.702,717.528762
1.704,717.529922
1.706,716.726612
1.708,716.724562
1.71,716.325092
1.712,716.324202
1.714,715.118762
1.716,715.119922
1.718,715.922132
1.72,715.118482
1.722,715.922742
1.724,716.727552
1.726,716.728712
1.728,717.130842
1.73,717.530922
1.732,717.131452
1.734,716.729932
1.736,716.328962
1.738,716.730542
1.74,715.926892
1.742,715.928052
1.744,716.328472
1.746,715.929002
1.748,716.731212
1.75,716.331742
1.752,716.332082
1.754,716.733322
1.756,717.135792
1.758,717.134902
1.76,716.735772
1.762,717.137562
1.764,717.138172
1.766,716.738832
1.768,716.337862
1.77,716.741152
1.772,717.546912
1.774,717.947332
1.776,718.753092
1.778,719.557902
1.78,720.364212
1.782,721.570942
1.784,721.973412
1.786,722.377042
1.788,722.779172
1.79,723.181642
1.792,722.783672
1.794,723.184432
1.796,722.783252
1.798,722.383782
1.8,722.383022
1.802,721.983892
1.804,721.582162
1.806,722.386762
1.808,722.388262
1.81,721.585902
1.812,721.989532
1.814,721.588692
1.816,722.794532
1.818,722.795482
1.82,722.796432
1.822,723.200062
1.824,723.602322
1.826,725.209682
1.828,725.611602
1.83,725.615762
1.832,725.617052
1.834,727.625382
1.836,727.226252
1.838,728.031402
1.84,729.238132
1.842,730.444862
1.844,730.848832
1.846,731.251302
1.848,732.057952
1.85,732.862002
1.852,734.069282
1.854,734.472092
1.856,736.081843
1.858,736.888153
1.86,737.290413
1.862,738.494823
1.864,738.499873
1.866,739.304473
1.868,740.109073
1.87,739.708233
1.872,740.513173
1.874,740.113493
1.876,740.514253
1.878,740.916723
1.88,741.320143
1.882,740.917803
1.884,740.918883
1.886,741.320463
1.888,741.319433
1.89,741.723063
1.892,741.321673
1.894,740.918783
1.896,740.116973
1.898,739.716133
1.9,739.714213
1.902,739.313033
1.904,738.910483
1.906,738.508753
1.908,738.510253
1.91,739.313143
1.912,739.312383
1.914,738.106393
1.916,738.106183
1.918,737.302323
1.92,736.899983
1.922,736.899773
1.924,736.094203
1.926,734.488743
1.928,734.487033
1.93,734.083803
1.932,733.281993
1.934,732.878763
1.936,732.477243
1.938,732.072853
1.94,732.072093
1.942,731.269603
1.944,729.259963
1.946,728.054523
1.948,727.248613
1.95,726.845933
1.952,725.238423
1.954,724.433063
1.956,724.030043
1.958,722.824663
1.96,721.617173
1.962,721.615123
1.964,720.408243
1.966,719.201913
1.968,719.201363
1.97,718.395663
1.972,717.187623
1.974,716.383973
1.976,714.774963
1.978,712.763823
1.98,711.154813
1.982,709.948823
1.984,709.944723
1.986,709.140522
1.988,707.933032
1.99,707.127332
1.992,705.518322
1.994,704.310282
1.996,702.299142
1.998,701.494942
2,698.680492
2.002,697.874792
2.004,696.666752
2.006,695.460422
2.008,693.851962
2.01,691.842322
2.012,691.036412
2.014,689.025272
2.016,688.219362
2.018,686.208562
2.02,685.404362
2.022,682.992252
2.024,682.184632
2.026,680.978302
2.028,678.165012
2.03,676.954922
2.032,675.748042
2.034,674.941792
2.036,674.135882
2.038,672.526872
2.04,671.319992
2.042,670.111612
2.044,668.502051
2.046,667.295171
2.048,665.281981
2.05,663.674471
2.052,662.063411
2.054,660.856531
2.056,659.647941
2.058,657.635911
2.06,656.830001
2.062,655.222151
2.064,654.013771
2.066,653.606781
2.068,651.997431
2.07,651.192071
2.072,650.385821
2.074,650.383221
2.076,648.772711
2.078,647.565831
2.08,646.358611
2.082,645.955931
2.084,644.749601
2.086,644.748711
2.088,643.943351
2.09,643.541491
2.092,643.138471
2.094,642.733401
2.096,641.525911
2.098,639.920661
2.1,639.11462
2.102,638.71099
2.104,638.30797
2.106,638.30592
2.108,637.90461
2.11,638.30456
2.112,638.30422
2.114,637.49818
2.116,637.49955
2.118,636.29343
2.12,635.89041
2.122,635.48876
2.124,635.48692
2.126,634.68348
2.128,634.28217
2.13,634.68062
2.132,634.68199
2.134,634.68131
2.136,634.68063
2.138,634.27987
2.14,634.27919
2.142,634.2779
2.144,634.27872
2.146,633.47528
2.148,633.87728
2.15,633.87694
2.152,634.27928
2.154,634.27915
2.156,634.68265
2.158,634.68286
2.16,635.0852
2.162,635.88762
2.164,637.09361
2.166,637.49479
2.168,637.89658
2.17,638.7016
2.172,638.70236
2.174,639.10388
2.176,639.50451
2.178,638.70141
2.18,640.30892
2.182,639.5035
2.184,639.50405
2.186,639.10479
2.188,639.90694
2.19,639.10357
2.192,637.89663
2.194,637.4986
2.196,635.88953
2.198,636.29071
2.2,635.88947
2.202,633.47819
2.204,632.67625
2.206,632.27501
2.208,633.48039
2.21,633.48525
2.212,633.89087
2.214,635.10506
2.216,637.52169
2.218,640.33498
2.22,644.35576
2.222,646.76897
2.224,647.97585
2.226,648.38018
2.228,650.79605
2.23,653.20981
2.232,655.22144
2.234,658.84043
2.236,661.25324
2.238,657.63558
2.24,654.02625
2.242,654.83759
2.244,656.03
2.246,666.054001
2.248,680.920681
2.25,686.552371
2.252,680.543751
2.254,676.140401
2.256,682.971871
2.258,691.401011
2.26,699.026641
2.262,696.626371
2.264,697.841451
2.266,700.666432
2.268,707.494902
2.27,709.900732
2.272,711.908132
2.274,712.321212
2.276,713.934262
2.278,714.743942
2.28,717.552182
2.282,717.152652
2.284,720.371772
2.286,721.586172
2.288,723.598962
2.29,726.411512
2.292,727.212442
2.294,728.420212
2.296,726.417422
2.298,725.217392
2.3,725.621722
2.302,726.824992
2.304,727.631792
2.306,728.036122
2.308,728.442292
2.31,729.650272
2.312,731.259012
2.314,731.661022
2.316,730.861412
2.318,729.657962
2.32,730.061132
2.322,730.063672
2.324,730.066003
2.326,730.472723
2.328,731.679333
2.33,732.484633
2.332,733.692743
2.334,734.096253
2.336,732.894513
2.338,732.092583
2.34,730.887633
2.342,731.693273
2.344,730.490163
2.346,729.288763
2.348,728.487993
2.35,728.087853
2.352,728.088683
2.354,728.493693
2.356,728.496573
2.358,728.498903
2.36,728.499393
2.362,727.698623
2.364,726.497773
2.366,726.901283
2.368,725.295703
2.37,724.493433
2.372,725.701753
2.374,725.704293
2.376,725.306203
2.378,724.906403
2.38,724.508523
2.382,723.706253
2.384,723.709343
2.386,722.508493
2.388,722.911663
2.39,720.103853
2.392,720.508123
2.394,719.705853
2.396,718.504663
2.398,717.301973
2.4,716.501753
2.402,715.699693
2.404,714.096373
2.406,712.090033
2.408,710.086083
2.41,708.883733
2.412,706.875683
2.414,704.467763
2.416,701.656613
2.418,699.650823
2.42,698.044293
2.422,694.027703
2.424,692.023413
2.426,688.810473
2.428,685.598353
2.43,683.590853
2.432,679.978313
2.434,678.372943
2.436,676.367763
2.438,674.762053
2.44,671.549933
2.442,669.139753
2.444,667.133073
2.446,664.323083
2.448,661.511933
2.45,659.503203
2.452,656.292582
2.454,652.677442
2.456,649.464772
2.458,647.860222
2.46,646.656092
2.462,643.444582
2.464,641.837772
2.466,640.231172
2.468,638.626072
2.47,636.219712
2.472,635.416822
2.474,631.804682
2.476,629.396272
2.478,627.389992
2.48,625.380162
2.482,624.176642
2.484,622.973122
2.486,621.366922
2.488,619.759562
2.49,620.160402
2.492,618.953462
2.494,619.357512
2.496,619.758142
2.498,618.954702
2.5,619.758562
2.502,621.767312
2.504,622.972752
2.506,622.974462
2.508,623.376802
2.51,624.582792
2.512,624.580742
2.514,623.777642
2.516,622.171232
2.518,621.366422
2.52,620.563322
2.522,619.759672
2.524,620.160302
2.526,619.358362
2.528,618.554712
2.53,618.151692
2.532,618.151142
2.534,617.748462
2.536,616.540291
2.538,615.335461
2.54,614.128791
2.542,612.923011
2.544,611.718051
2.546,610.912691
2.548,609.705471
2.55,608.902981
2.552,608.099941
2.554,608.905021
2.556,610.512861
2.558,612.122411
2.56,614.132931
2.562,616.544421
2.564,618.552071
2.566,618.957071
2.568,618.956791
2.57,618.956721
2.572,620.967241
2.574,622.974001
2.576,625.788781
2.578,628.602881
2.58,639.039651
2.582,647.872341
2.584,658.315662
2.586,673.180112
2.588,689.244192
2.59,710.928272
2.592,731.007382
2.594,748.680193
2.596,763.136153
2.598,775.988033
2.6,784.416053
2.602,788.024023
2.604,786.817413
2.606,783.199583
2.608,779.583803
2.61,778.776663
2.612,778.368443
2.614,776.360913
2.616,773.550832
2.618,769.533602
2.62,767.522252
2.622,763.903942
2.624,759.484922
2.626,754.664592
2.628,750.248782
2.63,748.239482
2.632,745.424482
2.634,742.610982
2.636,740.200162
2.638,737.789342
2.64,738.590792
2.642,740.193842
2.644,741.798262
2.646,743.402812
2.648,743.803842
2.65,745.006262
2.652,745.804162
2.654,746.203482
2.656,744.996052
2.658,745.396872
2.66,746.598612
2.662,748.203372
2.664,748.601802
2.666,749.807982
2.668,751.012112
2.67,752.614822
2.672,753.012092
2.674,752.606262
2.676,753.407712
2.678,752.603512
2.68,752.198022
2.682,751.794242
2.684,750.589202
2.686,750.587552
2.688,748.981542
2.69,748.175972
2.692,747.371562
2.694,746.567152
2.696,744.156332
2.698,742.951842
2.7,741.746462
2.702,740.537662
2.704,739.334332
2.706,738.530472
2.708,737.726062
2.71,737.324332
2.712,737.725152
2.714,736.920952
